Site_No,Site Name,Site,Period,N_GHI,N_Total,Reference
1,Basur Hoyuk,Basur Hoyuk,Neolithic,8,20,Berthon 2011
2,Cafer Höyük,Cafer Hoyuk,Neolithic,4,21,Helmer and Gourichon 2007
3,Cafer Höyük,Cafer Höyük,Neolithic,49,176,Helmer and Gourichon 2007
4,El Kowm 2 (lower levels),El Kowm 2 (PPNB),Neolithic,48,198,Helmer and Gourichon 2007
5,El Kowm 2 (PN),El Kowm 2 (PN),Neolithic,20,34,Helmer and Gourichon 2007
6,Gritille,Gritille,Neolithic,19,77,Monahan 2000:233
7,"Maghzaliyah 1/5, 6/8, 9/10, 12/14, 15/16",Maghzaliyah,Neolithic,35,167,Helmer and Gourichon 2007
8,Qdeir,Qdeir,Neolithic,32,206,Helmer and Gourichon 2007
9,"Ras Shamra VC1, V2/3",Ras Shamra,Neolithic,18,73,Helmer and Gourichon 2007
10,Tell Aswad,Tell Aswad,Neolithic,35,116,Helmer and Gourichon 2007
11,Tell Aswad,Tell Aswad,Neolithic,23,97,Helmer and Gourichon 2007
12,Tell Aswad,Tell Aswad,Neolithic,14,59,Helmer and Gourichon 2007
13,"Tell Halula 11, 12, 18",Tell Halula,Neolithic,18,133,Helmer and Gourichon 2007
14,"Tell Halula 25, 26",Tell Halula,Neolithic,54,310,Helmer and Gourichon 2007
15,Tell Halula 5,Tell Halula,Neolithic,18,133,Helmer and Gourichon 2007
16,Tell Seker al-Aheimar (base and late),Tell Seker al-Aheimar,Neolithic,31,141,Helmer and Gourichon 2007
17,Tell Seker al-Aheimar (PN),Tell Seker al-Aheimar,Neolithic,13,29,Helmer and Gourichon 2007
18,Tell Sotto,Tell Sotto,Neolithic,5,12,Helmer and Gourichon 2007
19,Umm el Tlell,Umm el Tlell,Neolithic,12,100,Helmer and Gourichon 2007
20,Domuztepe,Domuztepe,Halaf-Ubaid,42,110,Lau 2016 (Ditch material only' Kansa gives 210/186 sheep goat for other contexts)
21,Khirbet Derak,Khirbet Derak,Halaf-Ubaid,21,41,Helmer and Gourichon 2007
22,Sabi Abyad,Sabi Abyad,Halaf-Ubaid,68,271,Russell 2010
23,"Kosak Shamali, E North Ubaid",Kosak Shamali,Halaf-Ubaid,1,14,Gourichon and Helmer
24,"Kosak Shamali, Late N Ubaid",Kosak Shamali,Halaf-Ubaid,8,19,Gourichon and Helmer
25,Zeidan,Zeidan,Halaf-Ubaid,2,35,Grossman and Hinman 2013
26,Hacinebi  A,Hacinebi,LC 1-3,25,37,Bigelow thesis p. 354 --
27,Hacinebi B1,Hacinebi,LC 1-3,11,27,"Bigelow thesis, p. 364"
28,"Kosak Shamali, post-Ubaid",Kosak Shamali,LC 1-3,10,26,Gourichon and Helmer
29,Tell Surezha,Tell Surezha,LC 1-3,5,18,Price et al. 2021
30,Tell Surezha,Tell Surezha,LC 1-3,4,18,Price et al. 2021
31,Zeidan,Zeidan,LC 1-3,3,13,"Fisher Dissertation, p. 246 (citing Grossman)"
