Specimen,Site,Period,Measurement_value,Element,Element_Portion,Measurement,Measurement_Set,Immature,Site_Name,Specimen_No,Site_No
Animal.17,Tell Surezha,LC 1-3,30.2,Hum_dist,1,Hum_Bd,1,1,Tell Surezha (LC 1-3),365,28
Animal.18,Tell Surezha,LC 1-3,33.7,Hum_dist,1,Hum_Bd,1,1,Tell Surezha (LC 1-3),376,28
Animal.19,Tell Surezha,LC 1-3,36.7,Hum_dist,1,Hum_Bd,1,1,Tell Surezha (LC 1-3),387,28
Animal.31,El Kowm 2,PN,28,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),512,4
Animal.32,El Kowm 2,PN,28,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),523,4
Animal.33,El Kowm 2,PN,30.2,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),534,4
Animal.34,El Kowm 2,PN,29.8,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),545,4
Animal.35,El Kowm 2,PN,31.2,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),556,4
Animal.36,El Kowm 2,PN,30,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PN),563,4
Animal.37,El Kowm 2,PPNB,30.5,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),573,5
Animal.38,El Kowm 2,PPNB,31.7,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),580,5
Animal.39,El Kowm 2,PPNB,32,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),591,5
Animal.40,El Kowm 2,PPNB,30.5,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),603,5
Animal.41,El Kowm 2,PPNB,31.7,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),614,5
Animal.42,El Kowm 2,PPNB,29.5,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),625,5
Animal.43,El Kowm 2,PPNB,31.5,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),636,5
Animal.44,El Kowm 2,PPNB,31.3,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),645,5
Animal.45,El Kowm 2,PPNB,29.4,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),655,5
Animal.46,El Kowm 2,PPNB,30.6,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),743,5
Animal.47,El Kowm 2,PPNB,29.6,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),847,5
Animal.48,El Kowm 2,PPNB,29.6,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),956,5
Animal.49,El Kowm 2,PPNB,30,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1065,5
Animal.50,El Kowm 2,PPNB,33.6,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1176,5
Animal.51,El Kowm 2,PPNB,32,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1286,5
Animal.52,El Kowm 2,PPNB,29.2,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1312,5
Animal.53,El Kowm 2,PPNB,29,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1423,5
Animal.54,El Kowm 2,PPNB,28.5,Hum_dist,1,Hum_Bd,1,1,El Kowm 2 (PPNB),1452,5
