"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1,"Animal.1",25,"Tell Surezha",3,"LC 1-3",6,"Ast",0.082,0.61,0.3,0.08
2,"Animal.10",25,"Tell Surezha",3,"LC 1-3",6,"Ast",0.117,0.57,0.3,0.13
3,"Animal.100",5,"El Kowm 2",1,"PPNB",6,"Ast",0.152,0.35,0.29,0.36
4,"Animal.1000",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.22,0,0.32,0.68
5,"Animal.1001",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.17,0,0.47,0.53
6,"Animal.1002",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.177,0,0.45,0.55
7,"Animal.1003",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.246,0,0.26,0.74
8,"Animal.1004",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.153,0,0.53,0.47
9,"Animal.1005",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.149,0,0.55,0.45
10,"Animal.1006",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.212,0,0.34,0.66
11,"Animal.1007",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.145,0,0.56,0.44
12,"Animal.1008",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.284,0,0.22,0.78
13,"Animal.1009",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.137,0,0.59,0.41
14,"Animal.101",5,"El Kowm 2",1,"PPNB",6,"Ast",0.052,0.55,0.37,0.08
15,"Animal.1010",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.128,0,0.63,0.37
16,"Animal.1011",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.157,0,0.52,0.48
17,"Animal.1012",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.141,0,0.58,0.42
18,"Animal.1013",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.161,0,0.51,0.49
19,"Animal.1015",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.209,0,0.35,0.65
20,"Animal.1016",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.242,0,0.27,0.73
21,"Animal.1017",24,"Tell Sabi Abyad (Op III)",1,"PN",7,"Cal",0.223,0,0.31,0.69
22,"Animal.1018",23,"Tell Sabi Abyad (Op III)",2,"Halaf",7,"Cal",0.19,0,0.28,0.72
23,"Animal.1019",23,"Tell Sabi Abyad (Op III)",2,"Halaf",7,"Cal",0.202,0,0.27,0.73
24,"Animal.102",5,"El Kowm 2",1,"PPNB",6,"Ast",0.1,0.47,0.36,0.17
25,"Animal.1020",23,"Tell Sabi Abyad (Op III)",2,"Halaf",7,"Cal",0.04,0,0.72,0.28
26,"Animal.1023",24,"Tell Sabi Abyad (Op III)",1,"PN",4,"Mtc",0.032,0,0.63,0.37
27,"Animal.1024",24,"Tell Sabi Abyad (Op III)",1,"PN",8,"Mtt",0.005,0,0.67,0.33
28,"Animal.1025",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.041,0.1,0.49,0.41
29,"Animal.1026",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.062,0.08,0.42,0.5
30,"Animal.1027",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.026,0.12,0.54,0.34
31,"Animal.1028",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",-0.027,0.18,0.64,0.18
32,"Animal.1029",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.067,0.07,0.4,0.52
33,"Animal.103",5,"El Kowm 2",1,"PPNB",6,"Ast",0.113,0.45,0.35,0.21
34,"Animal.1030",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",-0.033,0.19,0.64,0.17
35,"Animal.1031",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.017,0.13,0.56,0.31
36,"Animal.1032",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",-0.014,0.17,0.62,0.21
37,"Animal.1033",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.047,0.09,0.47,0.43
38,"Animal.1034",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",-0.052,0.21,0.65,0.14
39,"Animal.1035",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.058,0.08,0.44,0.48
40,"Animal.1036",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.147,0.02,0.15,0.83
41,"Animal.1037",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.075,0.07,0.38,0.56
42,"Animal.1038",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.016,0.13,0.57,0.3
43,"Animal.1039",24,"Tell Sabi Abyad (Op III)",1,"PN",1,"Hum_dist",0.019,0.13,0.56,0.32
44,"Animal.104",5,"El Kowm 2",1,"PPNB",6,"Ast",0.091,0.49,0.36,0.15
45,"Animal.1040",23,"Tell Sabi Abyad (Op III)",2,"Halaf",1,"Hum_dist",0.001,0.17,0.6,0.23
46,"Animal.1041",23,"Tell Sabi Abyad (Op III)",2,"Halaf",1,"Hum_dist",0.069,0.08,0.43,0.49
47,"Animal.1042",23,"Tell Sabi Abyad (Op III)",2,"Halaf",1,"Hum_dist",0.073,0.08,0.41,0.52
48,"Animal.1043",23,"Tell Sabi Abyad (Op III)",2,"Halaf",1,"Hum_dist",-0.067,0.24,0.65,0.11
49,"Animal.1044",23,"Tell Sabi Abyad (Op III)",2,"Halaf",1,"Hum_dist",0.12,0.04,0.26,0.7
50,"Animal.1045",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.107,0,0.25,0.75
51,"Animal.1046",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.055,0,0.46,0.54
52,"Animal.1047",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.065,0,0.41,0.59
53,"Animal.1048",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.05,0.24,0.44,0.32
54,"Animal.1049",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.02,0.3,0.48,0.22
55,"Animal.105",5,"El Kowm 2",1,"PPNB",6,"Ast",0.104,0.47,0.36,0.18
56,"Animal.1050",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.025,0.29,0.48,0.23
57,"Animal.1051",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.1,0.13,0.32,0.55
58,"Animal.1052",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.089,0.15,0.35,0.5
59,"Animal.1053",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.035,0,0.54,0.46
60,"Animal.1054",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.025,0.29,0.48,0.23
61,"Animal.1055",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.017,0.31,0.48,0.21
62,"Animal.1056",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.011,0,0.72,0.28
63,"Animal.1057",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.02,0,0.6,0.4
64,"Animal.1058",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.062,0.21,0.42,0.37
65,"Animal.1059",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.184,0.02,0.12,0.86
66,"Animal.106",5,"El Kowm 2",1,"PPNB",6,"Ast",0.091,0.49,0.37,0.14
67,"Animal.1060",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.011,0.32,0.49,0.19
68,"Animal.1061",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.002,0,0.69,0.31
69,"Animal.1062",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",-0.004,0.34,0.5,0.16
70,"Animal.1063",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.031,0.28,0.47,0.25
71,"Animal.1064",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.091,0,0.31,0.69
72,"Animal.1065",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.032,0,0.55,0.45
73,"Animal.1066",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.064,0,0.42,0.58
74,"Animal.1067",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.078,0.18,0.37,0.45
75,"Animal.1068",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.065,0.21,0.41,0.38
76,"Animal.1069",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.016,0.31,0.48,0.21
77,"Animal.107",5,"El Kowm 2",1,"PPNB",6,"Ast",0.073,0.52,0.37,0.11
78,"Animal.1070",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.03,0.28,0.47,0.25
79,"Animal.1071",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.039,0.26,0.46,0.28
80,"Animal.1072",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.019,0,0.61,0.39
81,"Animal.1073",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.062,0.21,0.42,0.37
82,"Animal.1074",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.014,0,0.63,0.37
83,"Animal.1075",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.045,0.25,0.45,0.3
84,"Animal.1076",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.048,0.24,0.44,0.31
85,"Animal.1077",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.028,0,0.76,0.24
86,"Animal.1078",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.004,0,0.66,0.34
87,"Animal.1079",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",-0.001,0.34,0.49,0.17
88,"Animal.108",5,"El Kowm 2",1,"PPNB",6,"Ast",0.113,0.45,0.35,0.2
89,"Animal.1080",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.04,0,0.8,0.2
90,"Animal.1081",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",-0.001,0.34,0.5,0.17
91,"Animal.1082",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.018,0,0.74,0.26
92,"Animal.1083",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.01,0,0.64,0.36
93,"Animal.1084",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.013,0.31,0.49,0.2
94,"Animal.1085",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.016,0,0.62,0.38
95,"Animal.1086",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",-0.087,0,0.87,0.13
96,"Animal.1087",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.027,0.29,0.47,0.24
97,"Animal.1088",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.117,0.1,0.27,0.63
98,"Animal.1089",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.112,0.11,0.28,0.61
99,"Animal.109",5,"El Kowm 2",1,"PPNB",6,"Ast",0.174,0.28,0.24,0.47
100,"Animal.1090",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.041,0,0.52,0.48
101,"Animal.1091",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.029,0,0.57,0.43
102,"Animal.1092",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.035,0,0.54,0.46
103,"Animal.1093",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.081,0.17,0.37,0.46
104,"Animal.1094",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",0.073,0.19,0.39,0.42
105,"Animal.1095",24,"Tell Sabi Abyad (Op III)",1,"PN",2,"Rad_prox",-0.049,0.41,0.49,0.1
106,"Animal.1096",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.026,0,0.58,0.42
107,"Animal.1097",24,"Tell Sabi Abyad (Op III)",1,"PN",3,"Rad_dist",0.013,0,0.63,0.37
108,"Animal.1098",23,"Tell Sabi Abyad (Op III)",2,"Halaf",3,"Rad_dist",-0.032,0,0.77,0.23
