"Site_No","Site Name","Site","Period","N_GHI","N_Total","Reference","Period_No"
1,"Basur Hoyuk","Basur Hoyuk","Neolithic",8,20,"Berthon 2011",1
2,"Cafer Höyük","Cafer Hoyuk","Neolithic",4,21,"Helmer and Gourichon 2007",1
3,"Cafer Höyük","Cafer Höyük","Neolithic",49,176,"Helmer and Gourichon 2007",1
4,"El Kowm 2 (lower levels)","El Kowm 2 (PPNB)","Neolithic",48,198,"Helmer and Gourichon 2007",1
5,"El Kowm 2 (PN)","El Kowm 2 (PN)","Neolithic",20,34,"Helmer and Gourichon 2007",1
6,"Gritille","Gritille","Neolithic",19,77,"Monahan 2000:233",1
7,"Maghzaliyah 1/5, 6/8, 9/10, 12/14, 15/16","Maghzaliyah","Neolithic",35,167,"Helmer and Gourichon 2007",1
8,"Qdeir","Qdeir","Neolithic",32,206,"Helmer and Gourichon 2007",1
9,"Ras Shamra VC1, V2/3","Ras Shamra","Neolithic",18,73,"Helmer and Gourichon 2007",1
10,"Tell Aswad","Tell Aswad","Neolithic",35,116,"Helmer and Gourichon 2007",1
11,"Tell Aswad","Tell Aswad","Neolithic",23,97,"Helmer and Gourichon 2007",1
12,"Tell Aswad","Tell Aswad","Neolithic",14,59,"Helmer and Gourichon 2007",1
13,"Tell Halula 11, 12, 18","Tell Halula","Neolithic",18,133,"Helmer and Gourichon 2007",1
14,"Tell Halula 25, 26","Tell Halula","Neolithic",54,310,"Helmer and Gourichon 2007",1
15,"Tell Halula 5","Tell Halula","Neolithic",18,133,"Helmer and Gourichon 2007",1
16,"Tell Seker al-Aheimar (base and late)","Tell Seker al-Aheimar","Neolithic",31,141,"Helmer and Gourichon 2007",1
17,"Tell Seker al-Aheimar (PN)","Tell Seker al-Aheimar","Neolithic",13,29,"Helmer and Gourichon 2007",1
18,"Tell Sotto","Tell Sotto","Neolithic",5,12,"Helmer and Gourichon 2007",1
19,"Umm el Tlell","Umm el Tlell","Neolithic",12,100,"Helmer and Gourichon 2007",1
20,"Domuztepe","Domuztepe","Halaf-Ubaid",42,110,"Lau 2016 (Ditch material only' Kansa gives 210/186 sheep goat for other contexts)",2
21,"Khirbet Derak","Khirbet Derak","Halaf-Ubaid",21,41,"Helmer and Gourichon 2007",2
22,"Sabi Abyad","Sabi Abyad","Halaf-Ubaid",68,271,"Russell 2010",2
23,"Kosak Shamali, E North Ubaid","Kosak Shamali","Halaf-Ubaid",1,14,"Gourichon and Helmer",2
24,"Kosak Shamali, Late N Ubaid","Kosak Shamali","Halaf-Ubaid",8,19,"Gourichon and Helmer",2
25,"Zeidan","Zeidan","Halaf-Ubaid",2,35,"Grossman and Hinman 2013",2
26,"Hacinebi  A","Hacinebi","LC 1-3",25,37,"Bigelow thesis p. 354 --",3
27,"Hacinebi B1","Hacinebi","LC 1-3",11,27,"Bigelow thesis, p. 364",3
28,"Kosak Shamali, post-Ubaid","Kosak Shamali","LC 1-3",10,26,"Gourichon and Helmer",3
29,"Tell Surezha","Tell Surezha","LC 1-3",5,18,"Price et al. 2021",3
30,"Tell Surezha","Tell Surezha","LC 1-3",4,18,"Price et al. 2021",3
31,"Zeidan","Zeidan","LC 1-3",3,13,"Fisher Dissertation, p. 246 (citing Grossman)",3
32,"El Kowm 2 (Uruk)","El Kowm 2","LC 4-5",34,140,"Helmer and Gourichon 2007",4
33,"Hacinebi B2","Hacinebi","LC 4-5",7,14,"Bigelow thesis, p. 375",4
34,"Hassek Höyük","Hassek Höyük","LC 4-5",9,34,"Boessneck 1992",4
35,"Kosak Shamali, Uruk","Kosak Shamali","LC 4-5",13,27,"Helmer and Gourichon 2007",4
36,"Mashnaqa","Mashnaqa","LC 4-5",27,160,"Helmer and Gourichon 2007",4
37,"Rubeideh","Rubeideh","LC 4-5",22,50,"Payne 1988",4
38,"Sheikh Hassan (L. Uruk)","Skeikh Hassan","LC 4-5",28,166,"Helmer and Gourichon 2007",4
39,"Sheikh Hassan (Mid. Uruk)","Skeikh Hassan","LC 4-5",150,644,"Helmer and Gourichon 2007",4
40,"Atiqeh, Akkadian","Atiqeh","EBA",3,21,"Boessneck 1987",5
41,"Gritille","Gritille","EBA",10,32,"Stein 1987",5
42,"Gudeda","Gudeda","EBA",5,13,"Rufolo 2011: 415",5
43,"Hassek Höyük","Hassek Hoyuk","EBA",15,70,"Boessneck 1992",5
44,"Kharab Sayyar","Kharab Sayyar","EBA",3,12,"Vila 2010",5
45,"Kharab Sayyar","Kharab Sayyar","EBA",5,19,"Vila 2010",5
