"Specimen","Site","Period","Measurement_value","Element","Element_Portion","Measurement","Measurement_Set","Immature","Site_Name","Specimen_No","Site_No","Reference_value","LSI_ln","Period_No"
"Animal.17","Tell Surezha","LC 1-3",30.2,"Hum_dist",1,"Hum_Bd",1,1,"Tell Surezha (LC 1-3)",365,25,28.62,0.053736150252519,3
"Animal.18","Tell Surezha","LC 1-3",33.7,"Hum_dist",1,"Hum_Bd",1,1,"Tell Surezha (LC 1-3)",376,25,28.62,0.163392063230011,3
"Animal.19","Tell Surezha","LC 1-3",36.7,"Hum_dist",1,"Hum_Bd",1,1,"Tell Surezha (LC 1-3)",387,25,28.62,0.24867098093222,3
"Animal.31","El Kowm 2","PN",28,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",512,4,28.62,-0.021901263953101,1
"Animal.32","El Kowm 2","PN",28,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",523,4,28.62,-0.021901263953101,1
"Animal.33","El Kowm 2","PN",30.2,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",534,4,28.62,0.053736150252519,1
"Animal.34","El Kowm 2","PN",29.8,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",545,4,28.62,0.0404026193830539,1
"Animal.35","El Kowm 2","PN",31.2,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",556,4,28.62,0.0863123206871317,1
"Animal.36","El Kowm 2","PN",30,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PN)",563,4,28.62,0.0470916075338506,1
"Animal.37","El Kowm 2","PPNB",30.5,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",573,5,28.62,0.0636209094850611,1
"Animal.38","El Kowm 2","PPNB",31.7,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",580,5,28.62,0.10221090675493,1
"Animal.39","El Kowm 2","PPNB",32,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",591,5,28.62,0.111630128671422,1
"Animal.40","El Kowm 2","PPNB",30.5,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",603,5,28.62,0.0636209094850611,1
"Animal.41","El Kowm 2","PPNB",31.7,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",614,5,28.62,0.10221090675493,1
"Animal.42","El Kowm 2","PPNB",29.5,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",625,5,28.62,0.0302844892174692,1
"Animal.43","El Kowm 2","PPNB",31.5,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",636,5,28.62,0.0958817717032825,1
"Animal.44","El Kowm 2","PPNB",31.3,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",645,5,28.62,0.0895123234178026,1
"Animal.45","El Kowm 2","PPNB",29.4,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",655,5,28.62,0.026888900216331,1
"Animal.46","El Kowm 2","PPNB",30.6,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",666,5,28.62,0.0668942348300302,1
"Animal.47","El Kowm 2","PPNB",29.6,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",675,5,28.62,0.0336685872017098,1
"Animal.48","El Kowm 2","PPNB",29.6,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",720,5,28.62,0.0336685872017098,1
"Animal.49","El Kowm 2","PPNB",30,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",829,5,28.62,0.0470916075338506,1
"Animal.50","El Kowm 2","PPNB",33.6,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",940,5,28.62,0.160420292840854,1
"Animal.51","El Kowm 2","PPNB",32,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1050,5,28.62,0.111630128671422,1
"Animal.52","El Kowm 2","PPNB",29.2,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1076,5,28.62,0.0200629351459311,1
"Animal.53","El Kowm 2","PPNB",29,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1187,5,28.62,0.0131900558581692,1
"Animal.54","El Kowm 2","PPNB",28.5,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1216,5,28.62,-0.00420168685370008,1
"Animal.55","El Kowm 2","PPNB",30,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1227,5,28.62,0.0470916075338506,1
"Animal.56","El Kowm 2","PPNB",31.2,"Hum_dist",1,"Hum_Bd",1,1,"El Kowm 2 (PPNB)",1238,5,28.62,0.0863123206871317,1
